review_id,year,source_node,target_node,relation,description
736018747,2020,fun,close to soul,contrast,fun contrasted with spiritual closeness
736018747,2020,different,close to soul,contrast,different contrasted with spiritual closeness
571167388,2018,narayanhiti durbar,closed on Tuesday & Wednesday,contrast,narayanhiti durbar was closed
267547428,2015,river,cremation,description,river is where cremation takes place
267547428,2015,security officer,rude tone,causal,security officer's rude tone caused a problem
267547428,2015,no photography zones,security officer,causal,no photography rule led to interaction with security officer
434823776,2016,vibes,offer prayers,co_occurrence,vibes felt during offering prayers
207219759,2014,calm and peaceful,happy and blessed,co_occurrence,Both emotions felt simultaneously
207219759,2014,Sanjiv,calm and peaceful,causal,Sanjiv's action led to the experience
129251560,2012,cremations,cycle of life,causal,cremations evoke thoughts on the cycle of life
129251560,2012,smoke,home for the elderly,contrast,smoke issue contrasted with exploring other areas
635306302,2018,worshippers making a pilgrimage,holy men,co_occurrence,Both present at the temple
635306302,2018,holy men,camera toting tourists,co_occurrence,Tourists surrounding holy men
635306302,2018,monkeys,camera toting tourists,co_occurrence,Monkeys and tourists both present
715304647,2019,architecture,history,co_occurrence,architecture and history mentioned together
567255007,2018,devotees of Lord Shiva,deity,co_occurrence,devotees glimpse the deity
567255007,2018,crowds,deity,contrast,crowds make it hard to offer prayer
567255007,2018,architecture,small temples,description,architecture includes many small temples
472775895,2017,ancient design of art,marvellous architect,description,ancient design described as marvellous architect
472775895,2017,iconic temple,Hindi religious,description,temple described as part of Hindi religious
563944130,2018,rebuilded houses,rebuilding,contrast,rebuilded houses look not so nice despite rebuilding efforts
563944130,2018,spirit of Shiva,devotees,co_occurrence,spirit of Shiva felt with presence of devotees
148165373,2012,hospice,river,co_occurrence,hospice located on the river banks
148165373,2012,funeral pyres,beautiful calm place,contrast,funeral pyres are both beautiful and calm
148475949,2012,sense of spirituality,our place in the world order,co_occurrence,Both emotions are felt together by the reviewer
219681489,2014,Photos arent allowed,confiscate ur camera,causal,Photos not allowed leads to camera confiscation
390401445,2016,important Hindu shrine,non Hindus cannot go into the main area,contrast,important shrine but restricted access
390401445,2016,important Hindu shrine,crematoria,co_occurrence,crematoria are part of the shrine complex
360701467,2016,dead being burned,local traditions,description,cremation ceremony is part of local traditions
360701467,2016,strong smell,smoke,co_occurrence,strong smell and smoke occur together
538141423,2017,Abhishek ticket,expedited darshan,causal,Abhishek ticket allows expedited darshan
538141423,2017,State Bank counter,Abhishek ticket,description,State Bank counter sells Abhishek ticket
538141423,2017,golden Nandi,State Bank counter,description,State Bank counter is near golden Nandi
587608229,2018,darshan,poojas,co_occurrence,Both rituals were performed
587608229,2018,crowded,darshan,contrast,Crowded but still received darshan
587608229,2018,neat and clean premises,crowded,contrast,Cleanliness despite crowd
241669791,2014,lord shiva,darshan,description,darshan is a ritual related to lord shiva
241669791,2014,beautiful & sacred,lord shiva,description,temple's beauty and sacredness relate to lord shiva
228240597,2014,Bagmati River,cremation,description,cremation done in Bagmati River
228240597,2014,tourists,devotees,co_occurrence,tourists and devotees present together
228240597,2014,sadhoos or pandits,devotees,co_occurrence,sadhoos or pandits and devotees present together
462875560,2017,hallowed,divine,co_occurrence,Both describe the spiritual nature of the temple
436710933,2016,ashram for the elders,chant and laugh,co_occurrence,rituals happening at the ashram
436710933,2016,female sadhus,deity sculptures,co_occurrence,sadhus and sculptures at the entrance
228939009,2014,architecture of the site and buildings,stunning carvings,description,carvings are part of the architecture
228939009,2014,stunning carvings,courtyards of palaces,co_occurrence,carvings are present in courtyards
367064241,2016,oldest temple,Shiva,description,temple associated with Shiva
367064241,2016,Maha Shivaratri,non-Hindu entry ban,contrast,festival event with entry restriction
238867144,2014,cremations in progress,monkeys,co_occurrence,cremations and monkeys are mentioned together
238867144,2014,cremations in progress,eerie,description,cremations contribute to the eerie feeling
118328488,2011,guide,fascinating,causal,guide provided fascinating information
118328488,2011,holy men,entrance fee,contrast,holy men charged extra after photos
559207355,2018,biggest hindu temple,world heritage site,co_occurrence,Both describe the temple
235672355,2014,place of sadness,not one to take photos,contrast,place of sadness contrasts with photo restriction
158601497,2013,cremations,non-Hindu entry ban,co_occurrence,cremations visible to non-Hindus
158601497,2013,sadhus,negative feeling,causal,sadhus charging for photos contributes to negative feeling
158601497,2013,hassled from the street,negative feeling,causal,being hassled contributes to negative feeling
145071627,2012,non-Hindu entry ban,vast area,contrast,entry restriction contrasts with vast area to explore
145071627,2012,view of the valley,Himalayan range,co_occurrence,both are scenic views from the hilltop
409172201,2016,Peace,Monkeys,contrast,Peace contrasted with Monkeys
409172201,2016,old heritage,architectural view,co_occurrence,heritage and architecture mentioned together
688470333,2019,traditional cremation,other side of the river,co_occurrence,rituals observed from across the river
688470333,2019,shocking by moments,part of the culture,contrast,shocking yet cultural
715432596,2019,Hindu temple with Buddhist architecture,Entrance is restricted for Hindu only,contrast,Architectural uniqueness contrasted with entry restriction
715432596,2019,main temple might be closed in late afternoon,no photography inside the main complex,co_occurrence,Both are rules related to access and behavior
542928209,2017,main altar,silence and prayer,co_occurrence,main altar is a place for silence and prayer
542928209,2017,Nandi,visual appeal,description,Nandi contributes to visual appeal
542928209,2017,footwear storage service,vendors and shops,contrast,"footwear service is organized, vendors are bustling"
233786171,2014,non-Hindu entry ban,dampener for most foreigners,causal,entry restriction causes disappointment
233786171,2014,inside area,cow and other animal dung,description,inside area is dirty due to dung
236803783,2014,cremations,blessing of a recently deceased person,co_occurrence,Both rituals observed during visit
236803783,2014,colorful Sadus,various temples and statues,co_occurrence,Both seen during the visit
236803783,2014,monkeys,cotton candy vendor,contrast,Monkeys as a problem contrasted with enjoyment of vendor
460933578,2017,emotionally intense moments,incredible place,contrast,emotionally intense moments contrast with incredible place
460933578,2017,sadhus,people who want to sell you stuff,co_occurrence,sadhus and sellers both seek money from visitors
280068616,2015,beautiful piece of architecture,crowded,contrast,beautiful architecture contrasted with crowding
280068616,2015,Darshan,trust and believe for Hindus,causal,Darshan is a cause of trust and belief
