review_id,year,trip_type,aspect,sentiment,score,evidence,rating
736018747,2020,friends,spiritual_authenticity,positive,0.8,close to soul,5
736018747,2020,friends,sacred_atmosphere,positive,0.7,everything was different yet so close to soul,5
571167388,2018,family,sacred_atmosphere,positive,0.8,feel very pleasant atmosphere,4
571167388,2018,family,facility,negative,0.3,narayanhiti durbar but unfortunately it is closed,4
267547428,2015,friends,sacred_atmosphere,positive,0.8,amazed at how lovely the surroundings were,5
267547428,2015,friends,facility,negative,0.3,screamed at by a security officer in a very very rude tone,5
267547428,2015,friends,cultural_sensitivity,neutral,0.5,Please do not take photos,5
434823776,2016,family,spiritual_authenticity,positive,0.8,certain vibes which you feel when you offer prayers,5
207219759,2014,family,spiritual_authenticity,positive,0.9,calm and peaceful,5
207219759,2014,family,sacred_atmosphere,positive,0.9,happy and blessed,5
129251560,2012,friends,ritual_experience,positive,0.7,opens you up to the cycle of life,4
129251560,2012,friends,environment,negative,0.3,hard time breathing due to the smoke,4
129251560,2012,friends,facility,positive,0.6,home for the elderly that is worth walking through,4
635306302,2018,couples,sacred_atmosphere,positive,0.8,All fascinating to watch,5
715304647,2019,unknown,sacred_atmosphere,positive,0.85,architecture is just amazing,5
715304647,2019,unknown,spiritual_authenticity,positive,0.7,history very interesting,5
715304647,2019,unknown,facility,positive,0.8,excellent restaurants,5
567255007,2018,family,ritual_experience,negative,0.4,not possible to offer a prayer for more than a few seconds,4
567255007,2018,family,sacred_atmosphere,neutral,0.5,more a tourist attraction than a place of worship,4
567255007,2018,family,spiritual_authenticity,positive,0.7,"a blessing to be able to do this, once in a lifetime",4
472775895,2017,family,spiritual_authenticity,positive,0.9,One of the greatest iconic temple,5
472775895,2017,family,sacred_atmosphere,positive,0.85,marvellous architect in history,5
563944130,2018,family,environment,negative,0.3,rebuilded houses look not so nice,4
563944130,2018,family,spiritual_authenticity,positive,0.7,feel the spirit of Shiva,4
563944130,2018,family,sacred_atmosphere,positive,0.6,"worth visiting, because you still feel the spirit",4
148165373,2012,family,sacred_atmosphere,positive,0.8,I found it a beautiful calm place,5
148475949,2012,solo,spiritual_authenticity,positive,0.8,I liked the place for it's sense of spirituality,5
219681489,2014,solo,sacred_atmosphere,positive,0.8,just a beautiful temple,5
219681489,2014,solo,cultural_sensitivity,neutral,0.5,Photos arent allowed so pls respect that,5
390401445,2016,unknown,access_fairness,negative,0.3,non Hindus cannot go into the main area,5
390401445,2016,unknown,sacred_atmosphere,positive,0.7,Well worth a visit. This is an important Hindu shrine,5
360701467,2016,unknown,ritual_experience,neutral,0.5,watch the dead being burned as per local traditions,5
360701467,2016,unknown,environment,negative,0.3,strong smell and smoke,5
538141423,2017,family,facility,positive,0.8,Well worth it,5
538141423,2017,family,ritual_experience,positive,0.85,expedited darshan for 6 people,5
538141423,2017,family,sacred_atmosphere,positive,0.9,Beautiful temple,5
587608229,2018,unknown,ritual_experience,positive,0.8,received darshan and conducted poojas as we desired,5
587608229,2018,unknown,environment,positive,0.7,Neat and clean the premises,5
587608229,2018,unknown,crowd_management,neutral,0.5,Although crowded,5
241669791,2014,business,sacred_atmosphere,positive,0.9,The temple is beautiful & sacred,4
228240597,2014,family,sacred_atmosphere,positive,0.8,very beautiful place,5
228240597,2014,family,cultural_sensitivity,neutral,0.5,clicking photographs r not allowed,5
228240597,2014,family,facility,positive,0.7,tight security in temple,5
228240597,2014,family,spiritual_authenticity,positive,0.8,rest his mind,5
462875560,2017,solo,spiritual_authenticity,positive,0.9,Experience the divine,5
436710933,2016,friends,facility,positive,0.8,luxury minibus to visit,5
436710933,2016,friends,service,positive,0.9,very informative guide,5
436710933,2016,friends,sacred_atmosphere,positive,0.85,beautiful colorful reflective day,5
228939009,2014,family,sacred_atmosphere,positive,0.8,feel of our ancestors,5
228939009,2014,family,spiritual_authenticity,positive,0.85,stunning carvings on the buildings,5
367064241,2016,solo,sacred_atmosphere,positive,0.85,Vey Beautiful place to visit,5
238867144,2014,business,sacred_atmosphere,positive,0.7,well worth seeing given the scale and representation of life for believers,4
238867144,2014,business,spiritual_authenticity,positive,0.6,the cremations in progress complimented by the monkeys make it just that bit eerie,4
118328488,2011,couples,service,positive,0.8,"we were not disappointed, he was a student but was full of the history and knowledge",5
118328488,2011,couples,facility,neutral,0.5,entrance fee was 500 rupees per person,5
118328488,2011,couples,ritual_experience,positive,0.7,it was fascinating to hear all about the cremations,5
118328488,2011,couples,cultural_sensitivity,negative,0.3,one of them said after we had had our pictures taken that it was 100 rupees per holy man,5
559207355,2018,solo,sacred_atmosphere,positive,0.8,Recommends to visit,5
169507274,2013,solo,sacred_atmosphere,positive,0.85,Hindu architecture at this location is fantastic,4
235672355,2014,friends,access_fairness,negative,0.3,Expensive,3
235672355,2014,friends,sacred_atmosphere,neutral,0.5,Interesting place but not one to take photos as also a place of sadness,3
235672355,2014,friends,general_sentiment,positive,0.6,worth a visit,3
158601497,2013,solo,cultural_sensitivity,negative,0.3,Non-Hindus cannot enter the temple,3
158601497,2013,solo,sacred_atmosphere,negative,0.2,didn't have the feeling like a holy place,3
158601497,2013,solo,crowd_management,negative,0.3,get hassled from the street all the way to the temple complex,3
158601497,2013,solo,spiritual_authenticity,negative,0.2,kept trying to see and feel why it was holy but I couldn't,3
145071627,2012,couples,access_fairness,neutral,0.5,non-hinduist cannot go in the main temple,5
145071627,2012,couples,environment,positive,0.8,quite a vast area to walk about,5
145071627,2012,couples,sacred_atmosphere,positive,0.7,"worth going to the top of the hill, for another view of the valley",5
145071627,2012,couples,spiritual_authenticity,positive,0.7,worth the visit and you can linger there for hours,5
409172201,2016,friends,sacred_atmosphere,neutral,0.5,famous for Peace and Monkeys,5
409172201,2016,friends,spiritual_authenticity,neutral,0.5,not much worthy comparing with other temple,5
409172201,2016,friends,environment,neutral,0.5,famous for Peace and Monkeys,5
688470333,2019,friends,ritual_experience,positive,0.8,very worth a visit and really a must see,4
688470333,2019,friends,cultural_sensitivity,positive,0.7,with some respect we followed the rituals,4
688470333,2019,friends,sacred_atmosphere,neutral,0.5,a little shocking by moments but it's part of the culture,4
715432596,2019,friends,cultural_sensitivity,neutral,0.5,Entrance is restricted for Hindu only,5
715432596,2019,friends,access_fairness,neutral,0.5,main temple might be closed in late afternoon,5
715432596,2019,friends,sacred_atmosphere,positive,0.7,do roam around and check all surrounding smaller temples,5
542928209,2017,couples,service,positive,0.8,service offered at the entry gates for all tourists,4
542928209,2017,couples,facility,positive,0.7,footwear stored in bags and returned to them after their visit for no charge,4
542928209,2017,couples,sacred_atmosphere,positive,0.9,unique in energy and visual appeal,4
542928209,2017,couples,crowd_management,positive,0.8,barely a few people milling around in the main temple,4
233786171,2014,couples,access_fairness,negative,0.3,only Hindus are allowed in the main temple,3
233786171,2014,couples,environment,negative,0.3,Inside area is little dirty with cow and other animal dung,3
236803783,2014,friends,ritual_experience,positive,0.8,"witness several cremations, a blessing of a recently deceased person",5
236803783,2014,friends,sacred_atmosphere,positive,0.9,Visiting this place is an absolute must,5
236803783,2014,friends,facility,positive,0.7,enjoyed seeing the cotton candy vendor,5
460933578,2017,solo,sacred_atmosphere,positive,0.85,an incredible place with lots of emotionally intense moments,5
460933578,2017,solo,crowd_management,negative,0.4,ignore the people who want to sell you stuff ...they can be annoying,5
460933578,2017,solo,spiritual_authenticity,positive,0.7,its the second time i went and i like it most of all the temples to visit,5
280068616,2015,family,sacred_atmosphere,positive,0.85,most holy place in Nepal,4
280068616,2015,family,environment,positive,0.8,worth visiting,4
280068616,2015,family,crowd_management,negative,0.4,always crowded,4
537053767,2017,unknown,sacred_atmosphere,positive,0.7,nice to be there,4
190710853,2014,family,spiritual_authenticity,positive,0.8,"for the religious minded, it is a must",5
190710853,2014,family,facility,positive,0.7,buy rudraksh beads from the shops nearby,5
508086413,2017,friends,ritual_experience,positive,0.8,I am bery lucky to see that kind of prayer,4
508086413,2017,friends,sacred_atmosphere,positive,0.7,Pashupati has a holy river,4
508086413,2017,friends,environment,negative,0.4,there are many monkey too,4
149285992,2013,couples,service,positive,0.8,worth the $10 to have a guide,5
149285992,2013,couples,ritual_experience,positive,0.7,especially if cremations occurring,5
201651632,2014,unknown,access_fairness,neutral,0.5,pay some entry fees to go inside,4
201651632,2014,unknown,sacred_atmosphere,positive,0.8,splendid artitecture of the temple,4
309960648,2015,friends,environment,negative,0.3,place is not clean,3
309960648,2015,friends,cultural_sensitivity,positive,0.7,shoes removal is compulsory,3
309960648,2015,friends,facility,neutral,0.5,disposable socks to be worn,3
445984477,2016,family,cultural_sensitivity,positive,0.8,good policy not to let tourist to entered the beautiful main temple,4
445984477,2016,family,sacred_atmosphere,positive,0.7,it is really good,4
643729753,2019,solo,spiritual_authenticity,positive,0.9,One must attain salvation definitely by getting his / her funeral rights here.,5
479388832,2017,friends,environment,neutral,0.5,monkeys are everywhere and cremations happen by the river,4
479388832,2017,friends,ritual_experience,neutral,0.5,interesting but definitely not easy,4
479388832,2017,friends,sacred_atmosphere,negative,0.3,smell burning flesh,4
176591526,2013,business,cultural_sensitivity,neutral,0.5,main temple is out of bounds for the cameras,4
176591526,2013,business,sacred_atmosphere,positive,0.8,Nandi outside the main temple is grand & awe inspiring,4
122771879,2012,friends,ritual_experience,neutral,0.5,You have to know a bit about the rituals around the cremations,4
122771879,2012,friends,cultural_sensitivity,negative,0.3,"They live without money and just for the riligion, but they stronggly demand money for every picture you want to take",4
619070108,2018,couples,ritual_experience,positive,0.7,fascination insight into an aspect of Hinduism,4
619070108,2018,couples,facility,neutral,0.5,1000 rupee charge to get into the temple,4
619070108,2018,couples,environment,negative,0.4,evidence of earthquake damage,4
620429221,2018,friends,sacred_atmosphere,positive,0.8,sacred place for Shaiva Hindus,5
120400491,2011,solo,facility,positive,0.7,Get a guide and see this place,5
120400491,2011,solo,cultural_sensitivity,negative,0.3,non-Hindus cannot get into the temple,5
120400491,2011,solo,spiritual_authenticity,positive,0.8,fascinating introduction,5
120400491,2011,solo,service,negative,0.4,pseudo-Sadhus who will request money,5
546179576,2017,solo,cultural_sensitivity,positive,0.7,Most people were respectful of this keeping their distance,5
396447125,2016,friends,cultural_sensitivity,neutral,0.5,temple is for Hindu only,4
396447125,2016,friends,sacred_atmosphere,positive,0.7,looks beautiful from the outside,4
396447125,2016,friends,ritual_experience,positive,0.6,definitely cool to experience that aspect of another culture,4
154172046,2013,solo,environment,positive,0.8,forest and temple complexes up above are a tranquil place,4
154172046,2013,solo,ritual_experience,neutral,0.5,paths along the river are an open air funeral parlor,4
154172046,2013,solo,sacred_atmosphere,positive,0.7,pilgrims wander in peace,4
154172046,2013,solo,cultural_sensitivity,negative,0.3,"fake holy men, preening their moustaches and demanding huge fees for photos",4
240569554,2014,couples,sacred_atmosphere,positive,0.8,wonderful temples and adjoining buildings,5
240569554,2014,couples,facility,positive,0.85,guide who was worth every penny,5
247109464,2015,family,facility,negative,0.2,Temple complex needs serious cleaning,1
